Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Blues,1,1713.714307,306682.4413,Environment,571.2381025,Yes,536.8732233,No,Male,By_16:00,0.936858314,0.375858609,8.015535937,5.888772337,4.325834136,8.769227867,8215,10.05947099,681.0186246,6730.769482,72994.26056,Yes,288232.8579,26.09633355,206.3394722,17.34287499,326894.2078,90,30-45,3,870.6459495,11,Public_or_other,Services_or_Retail,408.0837299,1,Yes
Whites,5,64.30632208,10942.86824,Healthcare,21.43544069,No,510.5035344,No,Female,By_16:00,0.920438871,0.279504008,3.099016906,2.641114295,5.200409738,6.750896855,3315,89.90285851,389.4305673,5883.896479,49871.06308,No,260613.8587,19.73399522,127.9693015,25.10914688,490.9135584,80,30-45,0,619.7565077,9,Motorcycle_or_truck,Public_Sector,436.4372875,0,Yes
Blues,9,1494.337009,81941.80796,Healthcare,498.1123365,Yes,164.5046749,Yes,Female,After_16:00,0.721279085,0.500188954,1.546171128,5.530283749,9.122162433,7.537088715,9665,NA,203.7410158,2052.52878,22545.35514,Yes,27061.78805,14.27378772,568.1917697,17.25250697,248624.0121,80,Below_30,2,274.8063905,11,Foot_or_bicycle,Industry_or_other,149.9780175,0,No
Oranges,8,274.6387612,39815.9904,Military,91.54625374,No,434.9275778,Yes,Male,After_16:00,0.035729159,0.3765034,1.859971113,7.617056144,2.618717344,5.032616484,3629,85.21929167,358.2498103,5065.775399,45095.53951,Maybe,189161.9979,18.92748822,189.0783711,NA,8482.262828,30,30-45,2,562.4781493,5,Public_or_other,Student_or_Unemployed,393.1211246,0,Yes
Greens,3,343.9501658,34128.96586,Environment,114.6500553,No,297.679454,Yes,Female,By_16:00,0.681880741,0.029957555,8.232279478,2.404085775,7.948809301,6.07477902,9213,3.997365804,518.7220037,4014.238548,60719.57949,No,88613.05736,22.77546934,233.8210893,25.78548545,13269.28523,90,45_and_up,2,804.4714113,12,Foot_or_bicycle,Services_or_Retail,615.707325,0,No
Purples,10,110.7039098,15054.3845,Environment,36.90130328,No,407.9634909,Yes,Female,By_16:00,0.457227673,0.503723108,9.339124518,9.621034518,0.08187386,6.007516426,7188,90.40440624,406.6671611,NA,50807.37501,No,166434.2099,20.16599021,131.2667807,60.5697179,1408.607487,90,30-45,0,653.2885935,12,Car,Services_or_Retail,492.9835989,3,No
Browns,4,111.9990212,11030.81958,Education,37.33300708,No,295.4709637,Yes,Male,After_16:00,0.571059166,0.112811476,2.932710794,0.765945739,3.54172251,3.884698134,NA,95.16203178,364.2915118,3683.292661,42886.00782,No,87303.09042,NA,273.6087181,33.78536196,1441.086424,100,Below_30,2,546.9677285,10,Foot_or_bicycle,Student_or_Unemployed,379.116543,0,No
Yellows,2,-101.652941,-18956.35094,Environment,-33.88431365,Yes,559.4432615,No,Female,By_16:00,0.877108155,0.445345889,3.622369557,1.924422071,9.733924682,9.345052973,4687,15.6324822,335.7188505,6265.870316,45428.95867,Yes,312976.7629,18.32263219,204.3717172,78.53148086,1124.262398,90,Below_30,3,555.0677087,11,Foot_or_bicycle,Student_or_Unemployed,393.9528342,0,No
Blues,4,1356.023315,347524.9917,Environment,452.0077715,Yes,768.8473818,No,Female,After_16:00,0.304017132,0.15145661,6.350062802,3.727294847,7.657382209,3.903174386,7214,71.39278334,191.4867887,8071.447395,33235.37658,Yes,591126.2965,13.83787515,501.1542853,67.87233171,204773.0333,90,30-45,0,354.5712826,12,Motorcycle_or_truck,Services_or_Retail,210.6968692,0,Yes
Browns,8,53.76208304,8876.132791,Social,17.92069435,No,495.3007188,Yes,Female,By_16:00,0.522386759,0.10691558,7.97520916,7.156457789,0.299118517,1.286042742,8794,40.59906136,446.4009645,5845.809117,54751.23981,No,245322.8021,21.12820306,66.04540077,90.17180554,349.0719802,70,Below_30,5,682.1398622,7,Public_or_other,Student_or_Unemployed,461.6978445,1,Yes
Oranges,10,103.0988745,12202.5345,Military,34.3662915,No,355.0727754,Yes,Male,After_16:00,0.709936669,0.051709031,1.698026098,9.225744291,5.095226017,8.566823769,5342,83.2401451,368.3357646,4287.399284,45691.88585,Maybe,126076.6759,19.19207557,203.9348539,30.12398151,1225.408283,30,45_and_up,3,588.5048462,8,Public_or_other,Industry_or_other,442.990761,1,Yes
Purples,5,388.8466784,49913.72605,Financial,129.6155595,No,385.090542,Yes,Male,After_16:00,0.597354055,0.016819538,0.241888147,7.985133091,3.294832453,2.00243084,8001,23.99660957,357.9120507,4566.729521,46416.33277,No,148294.7255,18.91856365,183.0958567,55.38886935,16939.80882,60,30-45,1,604.908802,11,Motorcycle_or_truck,Industry_or_other,488.5578045,1,No
Blues,10,1275.914489,298481.7809,Healthcare,425.3048296,Yes,701.8067044,No,Female,By_16:00,0.580308813,0.131752853,1.17977659,7.887727681,6.913566522,9.927184342,4725,47.25517542,600.331357,8218.729758,67260.70159,Yes,492532.6503,24.50166029,289.9707602,48.47183872,181319.503,80,Below_30,2,769.2501756,13,Public_or_other,Industry_or_other,317.5425676,0,Yes
Pinks,1,144.617456,12547.72087,Social,48.20581867,No,260.2947365,Yes,Female,By_16:00,0.062470885,0.59521205,8.369103158,5.449010432,9.955545827,4.193033734,8013,44.11361392,379.7796323,3362.50663,47957.89831,No,67753.34985,19.48793556,277.5991353,92.66639655,2382.006772,70,30-45,1,653.7119515,8,Car,Services_or_Retail,571.7616176,0,Yes
Browns,4,251.0169713,24647.63521,Education,83.67232378,No,294.573332,Yes,Female,After_16:00,0.527014821,0.485304109,1.001979639,0.116031717,1.902167194,3.477893015,8270,9.753731056,386.8426414,3719.418602,45054.8655,No,86773.44791,19.66831567,256.7018238,7.841901621,7094.730091,100,Below_30,2,575.4354397,10,Motorcycle_or_truck,Industry_or_other,395.6394585,1,Yes
Browns,4,658.474444,109611.6638,Healthcare,219.4914813,No,499.3891478,Yes,Male,By_16:00,0.739722556,0.367783551,5.696397054,4.288087282,7.635702787,7.356112301,8650,65.93972454,454.7878505,5903.467179,56109.17793,No,249389.521,21.32575557,46.64471296,79.44604584,48406.00186,80,Below_30,1,703.5204667,7,Foot_or_bicycle,Student_or_Unemployed,488.5449731,0,Yes
Oranges,8,309.1676093,48402.07359,Other,103.0558698,No,469.6682849,Yes,Male,By_16:00,0.199428865,0.601938748,2.233250241,9.930585707,7.372725776,5.425063206,7300,19.63621676,339.7786116,5376.240072,44910.53416,Maybe,220588.2978,18.4330847,180.0573919,13.88947936,10733.56816,50,Below_30,3,564.5911526,7,Public_or_other,Industry_or_other,423.6471473,3,Yes
Browns,4,570.6136119,91901.16264,Education,190.2045373,No,483.1701911,Yes,Female,After_16:00,0.450559334,0.612130333,7.80544224,7.728636966,9.429654106,3.792896024,6016,56.94410983,436.9665184,5705.634948,53262.65641,No,233453.4335,20.90374412,NA,12.63028807,36377.97055,100,45_and_up,1,660.9660529,9,Foot_or_bicycle,Hightech,438.7583346,1,Yes
Greens,3,564.651864,58508.37437,Education,188.217288,No,310.8554745,Yes,Female,By_16:00,0.458526066,0.626058392,6.56660731,6.538863573,2.192582933,6.535535711,6285,11.17587336,537.2583913,4183.071528,63537.75579,No,96631.12603,23.17883499,253.1157066,4.662795342,35623.96478,100,30-45,4,846.6298696,12,Foot_or_bicycle,Services_or_Retail,664.02354,1,Yes
Blues,3,1925.96247,NA,Education,641.9874901,Yes,245.7542081,Yes,Female,After_16:00,0.394352349,0.694861518,1.21637969,9.614309701,6.891403226,9.792231841,6813,63.35340547,687.1755888,3831.893259,66813.46412,Yes,60395.13081,26.2140342,357.1091507,64.30697681,412799.925,100,45_and_up,4,809.5898743,13,Motorcycle_or_truck,Public_Sector,333.1128471,0,No
Blues,5,1668.492419,187771.615,Healthcare,556.1641396,Yes,337.6190617,Yes,Female,After_16:00,0.610441925,0.643959597,2.732508613,7.653826803,6.210339614,6.491560831,6387,10.88001316,721.0691125,4818.328842,NA,Yes,113986.6308,26.85273007,526.9072656,23.28630446,309884.7143,NA,45_and_up,2,707.7840348,11,Foot_or_bicycle,Services_or_Retail,50.11985491,0,No
Blues,1,1887.225519,290778.5724,Healthcare,629.0751731,Yes,462.2318362,Yes,Male,By_16:00,0.986105222,0.129634845,5.856084006,5.557537633,5.576735097,4.355034849,4330,59.69255497,411.9414215,5446.201205,51192.92417,Yes,213658.2704,20.2963401,107.4868122,74.46939007,396374.6486,80,Below_30,1,642.6154463,12,Motorcycle_or_truck,Public_Sector,451.2899667,0,Yes
Blues,10,1077.36975,58673.42645,Financial,359.1232501,Yes,163.3796376,Yes,Male,By_16:00,0.295512293,0.577390438,7.507003415,3.877620511,0.519530284,9.254995107,7789,11.35467177,391.9172712,2417.630919,37714.52452,Yes,26692.90599,19.79690055,493.4167967,23.26997998,129338.632,60,45_and_up,4,446.9697902,11,Car,Public_Sector,155.8125646,5,Yes
Purples,4,129.0988143,18087.86556,Healthcare,43.03293808,No,420.3260656,Yes,Male,By_16:00,0.323640183,0.944225888,2.583431285,6.1947036,5.241474891,3.663270527,8819,20.58174578,419.7284761,5042.717609,51248.45767,No,176674.0015,20.48727596,120.7883122,57.26529106,1904.866698,80,30-45,5,648.5846799,14,Foot_or_bicycle,Hightech,457.5928896,0,Yes
Browns,7,424.0440393,71109.34253,Environment,141.3480131,No,503.0798876,No,Male,By_16:00,0.288566101,0.944845204,5.013127902,7.212296075,7.522143531,9.996960519,5924,50.05958942,438.0860974,5906.97107,54227.2973,No,253089.3733,20.93050638,72.66392781,80.19499746,20130.60882,90,30-45,4,675.6300724,9,Motorcycle_or_truck,Services_or_Retail,462.089192,0,No
Browns,1,171.9728686,30987.45956,Financial,57.32428952,No,540.5642149,No,Male,After_16:00,0.090644572,0.682053218,5.441063982,1.607711061,7.114506047,6.31716938,4616,29.74947386,460.1780196,6325.998188,57320.00186,No,292209.6704,21.45176029,57.40320895,17.22578462,3353.398459,60,45_and_up,3,714.2203051,5,Foot_or_bicycle,Hightech,492.0073321,3,Yes
Purples,6,532.0443446,63431.73342,Healthcare,177.3481149,No,357.6679316,Yes,Female,By_16:00,0.688449164,0.530322765,0.149892485,6.309177047,8.806532866,4.13828315,6327,88.93702303,378.3776411,4333.434598,48915.72842,No,127926.3493,19.45193155,192.860473,29.03203852,31639.70196,80,45_and_up,0,649.4623722,11,Foot_or_bicycle,Services_or_Retail,546.3114042,0,Yes
Oranges,10,217.9048182,32409.44142,Military,72.63493939,No,446.1963029,Yes,Male,By_16:00,0.16320093,0.259879545,9.352319257,1.067106286,8.832396071,4.859689719,6362,1.937040826,381.4274568,5224.817942,50472.45284,Maybe,199091.1407,19.53016786,135.6271231,12.72070608,5358.469359,30,45_and_up,2,656.8808446,8,Car,Services_or_Retail,537.9530064,1,No
Whites,10,178.9052988,15719.58298,Healthcare,59.6350996,No,263.5961553,Yes,Male,After_16:00,0.257129869,0.68705352,5.456597055,0.552785832,2.416005239,8.089308576,3994,90.41183672,274.5145382,3184.990629,38262.4482,No,69482.93307,16.56848026,326.9927005,59.06783044,3625.980204,80,45_and_up,3,530.3824935,9,Public_or_other,Services_or_Retail,513.9195872,0,Yes
Greens,8,108.1017647,10050.99877,Healthcare,36.03392156,No,278.9315828,Yes,Female,After_16:00,0.518206107,0.231527187,5.740937879,2.31388764,7.504538957,9.402288329,9127,63.55916942,NA,3797.480543,60507.44471,No,77802.82786,22.4517785,279.6756727,69.24760744,1344.477425,80,Below_30,4,817.1981321,11,Car,Services_or_Retail,671.2617037,0,No
Browns,3,218.1170361,21988.15516,Social,72.70567869,No,302.4269295,Yes,Male,After_16:00,0.10271671,0.038724028,3.497490813,2.187463939,8.346750522,3.819572288,8666,26.54433164,360.2802161,3744.829727,42948.56018,No,91462.04767,18.98104887,265.5461841,12.43155408,5368.821392,70,30-45,NA,549.8184764,6,Public_or_other,Public_Sector,390.6471779,0,No
Yellows,2,1250.424791,NA,Environment,416.8082638,Yes,643.6316962,No,Male,After_16:00,0.617115463,0.524954049,8.63376525,6.83234405,7.420859174,4.189887163,3530,26.97963924,558.9805122,7554.277986,64711.24611,Yes,414261.7603,23.64276871,188.2704733,71.28214934,174155.937,90,45_and_up,1,764.2079415,11,Public_or_other,Public_Sector,393.5246219,0,Yes
Whites,2,742.2531189,127805.6376,Financial,247.4177063,No,516.55817,No,Male,After_16:00,0.537083916,0.763461261,1.513434295,3.689461274,9.40748733,6.506294003,5398,86.16990086,418.5162669,6002.614233,53130.83673,No,266832.343,20.45767012,87.57120242,52.14072505,61472.9391,60,45_and_up,2,664.5823375,7,Public_or_other,Public_Sector,472.5237606,0,No
Purples,8,NA,107898.2709,Education,285.6975842,No,377.6660249,Yes,Female,After_16:00,0.110024488,0.713154932,1.986464856,7.648235643,2.580604986,7.715147319,7213,84.68686526,420.4419836,4617.544216,52731.83862,No,142631.6263,20.50468199,154.6289144,40.23277946,81918.80718,100,30-45,3,691.7330292,14,Car,Student_or_Unemployed,NA,1,No
Purples,4,245.4144074,30399.68125,Healthcare,81.80480248,No,371.6124277,Yes,Female,After_16:00,0.689967545,0.977157041,6.601330768,0.474356778,9.044534541,0.176298616,9732,46.22713893,428.8112065,4573.74669,51675.62775,No,138095.7965,20.70775716,148.082353,27.82560743,6783.83051,80,30-45,3,663.3808929,14,Car,Services_or_Retail,480.5791286,0,No
Purples,6,300.988294,45454.90652,Education,100.3294313,No,453.0565549,Yes,Male,After_16:00,0.421386864,0.678370498,9.280806608,3.296157622,6.988843773,7.979574548,4454,19.41663704,354.2286273,5239.022804,47410.14675,No,205260.2419,18.82096244,153.2480955,81.97082642,10176.32423,100,Below_30,2,611.2830533,14,Public_or_other,Services_or_Retail,494.3432664,0,No
Purples,1,NA,59560.7408,Financial,148.2640156,No,401.7208125,Yes,Female,After_16:00,0.640641792,0.892113907,4.31311396,5.846273196,8.296072041,8.572441682,3012,44.76682667,385.9734093,4789.154943,49035.09962,No,161379.6112,19.64620598,150.7209474,35.36717831,22140.48233,60,Below_30,2,633.8084337,9,Motorcycle_or_truck,NA,492.5205681,0,Yes
Whites,4,213.1629618,37093.9863,Healthcare,71.05432059,No,522.0511011,No,Male,By_16:00,0.322520175,0.996749024,5.423112367,0.786677138,9.063732487,0.273093642,5987,21.00961187,386.8583614,5994.227734,49938.40131,No,272537.3522,19.6687153,130.054333,73.3730054,5129.770795,80,45_and_up,4,620.2659761,9,Car,Services_or_Retail,439.7766814,2,Yes
Reds,6,408.0521497,56638.84094,Foreign_Affairs,136.0173832,No,416.4088412,Yes,Male,After_16:00,0.248214072,0.930333161,9.929486963,6.441823612,8.340709445,1.904769326,7883,NA,425.1145742,5014.317561,53218.14071,Maybe,173396.3231,20.61830677,115.5233771,78.36517671,18646.74593,40,30-45,NA,NA,6,Motorcycle_or_truck,Hightech,527.3923683,0,Yes
Greys,10,72.41156888,11964.6621,Military,24.13718963,No,495.694084,Yes,Female,After_16:00,0.116807818,0.465694256,6.546297022,3.606346701,2.032098866,9.222144133,9679,88.97803139,415.3357489,5787.612338,50075.51069,Maybe,245712.625,20.37978775,158.4226239,12.52224525,616.7411126,30,45_and_up,2,606.4553074,6,Car,Public_Sector,366.1674501,0,Yes
Purples,9,285.4983855,38721.56415,Healthcare,95.16612849,No,406.8838857,Yes,Male,After_16:00,0.641779392,0.220928467,8.195133419,9.828523088,6.002836083,2.897378302,9405,84.6957382,404.1590528,4877.156963,51665.30424,No,165554.4965,20.10370744,139.4298058,34.35687954,9161.75814,80,30-45,0,674.3348829,14,Public_or_other,Public_Sector,539.8066936,0,No
Purples,8,528.8932725,67739.1168,Education,176.2977575,No,384.2313015,Yes,Male,After_16:00,0.604715736,0.677211481,4.733460043,9.983800554,8.176767398,6.649691835,8591,77.99055858,340.8085485,4523.930112,43820.08322,No,147633.693,18.46100075,207.0400314,58.31970919,31267.19705,100,Below_30,1,563.0522849,12,Car,Services_or_Retail,435.8029222,2,No
Purples,7,871.7473881,138237.7524,Environment,290.5824627,No,475.7264123,Yes,Female,After_16:00,0.975643334,0.402918292,0.058798466,3.436651821,9.318165269,1.1145597,3302,14.4856361,388.7627169,5534.789556,49800.81415,No,226315.6193,19.71706664,120.2167568,91.51245698,84738.75009,90,Below_30,1,628.1644732,13,Public_or_other,Industry_or_other,461.4107735,2,Yes
Greens,1,NA,27285.77287,Healthcare,95.42359615,No,285.9436657,Yes,Male,After_16:00,0.134491517,0.032008294,3.296093403,4.973333376,9.10731172,8.930489931,3034,66.76812479,488.4775288,3836.391714,58807.05539,No,81763.77994,22.10152775,259.6028075,48.47363327,9211.086298,80,45_and_up,6,791.43742,10,Motorcycle_or_truck,Hightech,646.4265552,0,No
Pinks,5,263.2521614,58229.73995,Environment,87.75072046,No,663.5813318,No,Female,After_16:00,0.529967983,0.593761543,7.782108281,0.757684931,6.303261814,5.504301682,9320,86.35650813,651.7669471,7939.347212,74474.49288,No,440340.1839,25.52972673,223.9889062,40.44000355,7797.939661,90,45_and_up,0,893.2147871,8,Foot_or_bicycle,Industry_or_other,480.5328031,0,No
Greens,2,474.0582262,46646.10446,Education,158.0194087,No,295.1922478,Yes,Female,After_16:00,0.006891499,0.777898673,1.947701632,9.322956312,9.45776155,5.67830014,3251,72.12009819,518.2042359,3988.33095,61131.39514,No,87138.46315,22.76409972,247.2157486,60.95599725,25138.15295,100,Below_30,2,814.5288645,12,Public_or_other,Public_Sector,637.251655,0,No
Browns,9,316.3905342,50325.07715,Healthcare,105.4635114,No,477.1799884,Yes,Female,By_16:00,0.175559755,0.115667764,1.247841716,7.639440862,4.399738135,2.484456277,7748,30.1777279,447.5900255,5666.979935,54806.75016,No,227700.7413,21.15632353,63.06160056,2.514369017,11238.01575,80,Below_30,2,687.2335504,8,Public_or_other,Hightech,473.3690574,0,Yes
Blues,4,2114.444313,430116.9852,Healthcare,704.8147711,Yes,610.2553505,No,Male,By_16:00,0.258981068,0.418826569,6.434518348,4.910413541,8.693883966,0.690385723,7200,87.93528809,233.3009634,6569.155432,39217.71305,Yes,372411.5928,15.27419272,294.2480237,90.12433379,497478.6763,80,Below_30,3,NA,10,Car,Hightech,442.5780446,0,Yes
Browns,9,464.8271337,75093.08764,Education,154.9423779,No,484.6517051,Yes,Female,After_16:00,0.89050285,0.845300803,8.296710805,2.032413092,6.826637937,1.874614866,8437,2.63286829,458.160862,5762.838775,56163.90861,No,234887.2753,21.40469252,45.65507606,2.634772845,24172.08284,100,30-45,2,705.8525693,10,Motorcycle_or_truck,Services_or_Retail,490.0852458,0,Yes
Browns,2,147.3404518,15128.82005,Environment,49.11348393,No,308.038014,Yes,Male,After_16:00,0.97090014,0.185557025,4.289292721,1.858533765,3.038439788,4.220347838,9239,86.85930208,366.3623739,3813.104888,43845.36926,No,94887.41807,19.14059492,252.7053177,27.02531817,2471.247788,90,45_and_up,1,562.698049,9,Motorcycle_or_truck,Services_or_Retail,404.336222,0,Yes
Greens,8,202.066681,20685.91022,Education,67.35556034,No,307.1151084,Yes,Male,By_16:00,0.048993316,NA,1.265512882,4.286369462,8.650499238,9.766659446,8989,40.32011894,512.8902151,4096.931514,62192.53483,No,94319.68981,22.64707962,273.2079427,78.09803749,4614.127069,100,45_and_up,3,838.8422866,12,Car,Hightech,693.0591643,1,No
Browns,4,324.9855246,54565.7389,Education,108.3285082,No,503.7061785,No,Female,By_16:00,0.221183594,0.580234569,6.757837948,9.79641224,1.215715555,2.939298227,5215,70.69105692,488.9471471,6014.95608,58912.22795,No,253719.9143,22.11214931,16.438008,17.73732067,11853.3942,100,30-45,1,734.6285099,9,Public_or_other,Industry_or_other,488.4109194,1,Yes
Purples,3,173.1545177,21461.07023,Financial,57.71817257,No,371.8251856,Yes,Female,By_16:00,0.834281622,0.851529577,6.435872361,2.500669451,8.981322288,7.410074018,7329,68.39142239,433.8839106,4586.019677,52141.0559,No,138253.9687,20.82988023,145.2193341,87.83894323,3399.105618,60,45_and_up,0,669.1848837,12,Car,Services_or_Retail,483.0136912,0,No
Greens,10,115.4329992,11188.66587,Social,38.47766641,No,290.7833795,Yes,Male,By_16:00,0.484403826,0.965581571,3.96721533,2.976195712,3.621157426,8.723538355,3592,66.85034211,506.0148139,3919.863423,61410.63133,No,84554.97378,22.49477304,286.097736,61.80695384,1529.008479,70,Below_30,3,832.0162088,12,Car,Services_or_Retail,695.0490765,1,Yes
Purples,5,75.08247885,9858.934475,Financial,25.02749295,No,393.9241735,Yes,Female,By_16:00,0.341502437,0.663368603,0.12368483,6.819656764,4.880897023,7.579144957,3938,14.82872923,431.0047544,4801.251244,52665.07385,No,155176.2545,20.760654,126.5412892,93.37961311,661.4028964,60,Below_30,3,677.0354474,11,Car,Student_or_Unemployed,499.4775022,0,No
Purples,2,428.7631349,53754.07189,Environment,NA,No,376.1102636,Yes,Male,After_16:00,0.893373951,0.189490701,8.525609022,4.463752597,7.709266662,6.409514679,5175,8.494781703,396.7150722,4554.53278,48544.70433,No,141458.9304,19.9177075,168.0698334,42.13129969,20579.34614,90,Below_30,1,621.0377234,11,Foot_or_bicycle,Services_or_Retail,452.7662642,0,Yes
Purples,2,628.385906,82314.43206,Social,209.4619687,No,392.9803228,Yes,Female,After_16:00,0.281840445,0.171872786,5.666256761,7.953244268,8.740155238,3.134149818,6039,6.591217546,495.5369993,4920.877227,59175.15468,No,154433.5341,22.26066035,122.1724964,64.38521191,44093.77829,70,Below_30,1,764.6624021,12,Public_or_other,Industry_or_other,558.7621409,1,No
Purples,1,262.2195605,30082.58036,Environment,87.40652016,No,344.1686078,Yes,Female,After_16:00,0.940180131,0.818307859,0.483047487,4.508183482,6.395196726,5.567728716,7933,74.85336468,444.2809999,4330.248078,52918.79547,No,118452.0306,21.07797428,165.4969911,NA,7737.306287,90,Below_30,3,684.8230029,15,Public_or_other,Student_or_Unemployed,501.1064845,0,Yes
Turquoises,1,1093.534106,174689.1865,Social,364.5113687,Yes,479.2420799,Yes,Female,By_16:00,0.725689008,0.973429392,6.053837892,5.375357994,1.137583847,1.039176544,5049,17.29209854,506.9963219,5806.413442,59026.97221,Yes,229672.9711,22.51657882,55.77904439,45.02933631,133243.0493,70,30-45,0,728.5720087,12,Foot_or_bicycle,Services_or_Retail,448.702222,0,No
Browns,6,70.96403293,11625.49939,Environment,23.65467764,No,491.4672509,Yes,Female,After_16:00,0.251973486,0.105311512,2.001344471,6.184337714,2.927787297,6.839046492,4604,48.60581309,439.095212,5792.862933,54507.91293,No,241540.0587,20.95459883,64.86971658,82.31924381,593.1984521,90,Below_30,1,684.0139964,9,Foot_or_bicycle,Student_or_Unemployed,479.363161,0,Yes
Purples,8,183.8839375,22254.15355,Social,61.29464583,No,363.0684743,Yes,NA,After_16:00,NA,0.894758218,1.099758314,7.834580506,1.243158437,1.435837899,8438,42.4644937,351.3409042,4333.366552,45297.41082,No,131818.7171,18.74408985,203.1969289,8.939597243,3828.328253,70,30-45,1,592.0348444,13,Motorcycle_or_truck,Services_or_Retail,479.0423664,0,Yes
Pinks,6,388.6747484,38199.08567,Environment,129.5582495,No,294.8410142,Yes,Female,By_16:00,0.976078626,0.1796097,7.306896872,4.445631835,4.545816588,6.935282089,5045,6.071680784,346.3519265,3641.113995,45261.90356,No,86931.22365,18.61053268,260.2849715,91.92680598,16924.89825,90,45_and_up,2,613.8411005,10,Motorcycle_or_truck,Industry_or_other,545.2805305,0,Yes
Greens,9,724.2734441,67352.56184,Healthcare,241.4244814,No,278.9798344,Yes,Female,By_16:00,0.617985182,0.231126446,9.79979282,1.903904553,3.740691878,9.583772132,6494,13.87508637,500.6462831,3791.09091,59354.9605,No,77829.74802,22.37512644,257.9880777,4.994905391,58537.20469,80,30-45,2,795.0144354,10,Motorcycle_or_truck,Services_or_Retail,633.0695944,0,No
Greys,10,382.8742464,61820.74198,Foreign_Affairs,127.6247488,No,484.3946223,Yes,Female,After_16:00,0.635538423,0.740259324,8.973878759,5.716700989,9.251666348,6.349224008,4848,8.442024002,475.2517662,5794.449755,55420.63608,Maybe,234638.1501,21.80026987,105.6206747,0.107316347,16425.70125,40,Below_30,2,675.4222738,7,Public_or_other,Industry_or_other,398.5124439,0,Yes
Pinks,NA,864.5047037,NA,Social,NA,No,697.2804459,No,Male,After_16:00,0.584587092,0.74103499,8.066409356,7.89420269,2.413454137,1.897541145,7112,22.04522039,642.4150031,8257.634466,74343.40892,No,486200.0203,25.34590703,243.9456312,47.44626356,83339.09965,70,45_and_up,2,889.1285275,6,Foot_or_bicycle,Services_or_Retail,482.4539602,2,Yes
Oranges,9,786.5196963,118512.1414,Other,262.1732321,No,452.0375341,Yes,Female,By_16:00,0.30497344,0.214810723,9.437179032,2.487975575,2.143460743,9.262666563,4922,23.17312413,395.564485,5311.504311,52030.23935,Maybe,204337.9323,19.888803,126.2192535,70.11162336,69006.97686,50,30-45,0,677.3083654,7,Car,Student_or_Unemployed,552.1931511,0,Yes
Purples,1,555.3334219,95365.00048,Education,185.1111406,No,515.1769913,No,Male,After_16:00,0.986313837,0.634158163,0.057325549,2.944742953,6.543677249,3.871864197,9374,88.58447454,330.7899064,5813.349726,48199.38487,No,265407.3323,18.18763059,181.6394276,27.43526809,34461.24553,100,Below_30,3,631.363039,14,Motorcycle_or_truck,Public_Sector,564.2688481,0,Yes
Turquoises,10,1200.820117,189428.3678,Financial,400.2733724,Yes,473.2474876,Yes,Female,By_16:00,0.397844118,0.654717759,4.691518364,9.708528714,5.527302166,0.120218094,5983,13.71443281,449.2630857,5631.001047,54177.3158,Yes,223963.1845,21.19582708,80.80050002,0.199755072,160629.046,60,Below_30,4,673.2063444,10,Motorcycle_or_truck,Student_or_Unemployed,443.0896371,0,No
Blues,7,1841.635683,332280.3499,Healthcare,613.8785611,Yes,541.2802645,No,Male,After_16:00,0.804032722,0.972988169,6.117369852,5.94878989,8.095453091,4.981128406,5649,42.66818936,126.6819678,5666.166581,25414.51425,Yes,292984.3248,NA,NA,0.685617537,377470.7663,80,30-45,1,300.2764133,11,Foot_or_bicycle,Public_Sector,264.2692316,0,Yes
Greens,7,408.3733316,33821.96923,Education,136.1244439,No,248.463599,Yes,Male,After_16:00,0.15839506,0.980310189,7.645232228,0.681479957,8.343346021,0.087304669,6198,92.83873595,517.7986796,3520.233349,60302.27314,No,61734.16001,22.75519017,287.050595,26.98965115,18675.98866,100,45_and_up,2,809.4412061,12,Foot_or_bicycle,Industry_or_other,637.152069,0,Yes
Blues,1,1731.395772,147235.5987,Education,577.1319241,Yes,255.1160187,Yes,Male,After_16:00,0.013938362,0.250677977,4.372828985,6.486474078,0.992432528,3.884038043,5110,69.27680997,254.6438748,3060.447937,40987.71444,Yes,65084.183,15.95756481,404.1603633,69.13910485,333668.3897,100,Below_30,0,608.5874399,14,Public_or_other,Public_Sector,707.7927015,0,No
Blues,7,1836.029384,465997.1991,Healthcare,612.0097945,Yes,761.421146,No,Female,By_16:00,0.747260178,0.260869743,4.729134426,5.271065976,2.618284009,8.425760772,7568,11.48400202,582.7390868,8779.689633,63730.13198,Yes,579762.1615,24.13998937,420.5248242,48.61465839,375177.9984,80,30-45,3,691.1908916,14,Car,Public_Sector,181.1671978,0,Yes
